"uniqueid","content","choices"
"JINGDONG|20160701114003|1589341|1654805389","不灵不灵不灵，脱发脱发","{\"default\": [1]}"
"JUMEI|20160119000000|14710|dea585a497fc5ed6e89678f33585233a","洗完脱发","{\"default\": [1]}"
"JUMEI|20160118000000|14710|ede0b0b075840d0f732000cb44f3195d","洗完脱发","{\"default\": [1]}"
"JUMEI|20160220000000|13191|33a9879d05e795c067ab0a8a8fbbd8d0","脱发","{\"default\": [1]}"
"JUMEI|20160103000000|14715|d51bb5e9850d0c76aa8b4e0075c38b76","脱发必备","{\"default\": [5]}"
"JUMEI|20160220000000|13194|33f2da7c1cede5aeee0fcf259da7642b","脱发","{\"default\": [1]}"
"JUMEI|20160221000000|13194|53d0ccbff1891be7120060bcba1ae19c","脱发","{\"default\": [5]}"
"JUMEI|20150805000000|13204|1cea521ef0c830056eaf5f65485e90cf","会脱发","{\"default\": [1]}"
"JINGDONG|20161110233712|1463431|2002031162","防脱发","{\"default\": [5]}"
"JUMEI|20160221000000|13191|33824577bb128338d883bcb208f3941d","脱发","{\"default\": [1]}"
"Tmall|20170802185257|17041512289|319201360836","用了脱发。。。。。","{\"default\": [1]}"
"JINGDONG|20161011193953|206690|1906158715","容易脱发！","{\"default\": [1]}"
"JINGDONG|20160923131733|2895504|1859235160","用了脱发。","{\"default\": [1]}"
"Tmall|20170311182413|525884925147|303449305484","假的，脱发","{\"default\": [1]}"
"SUNING|20160805000000|103305411|110948966","防脱发","{\"default\": [5]}"
"JUMEI|20150806000000|13204|08c72def96c7010ce23aeb22019a334c","会脱发","{\"default\": [1]}"
"JINGDONG|20160506085919|1989595|1505139775","用了脱发","{\"default\": [1]}"
"JINGDONG|20160322224809|1276431|1409686213","脱发少了","{\"default\": [5]}"
"JINGDONG|20161007233903|2131694|1895798896","脱发膏吗","{\"default\": [1]}"
"Tmall|20161119182801|532551479393|292478616128","太干，脱发","{\"default\": [1]}"
"JINGDONG|20170221075816|547774|10147757874","用起来脱发","{\"default\": [1]}"
"SUNING|20151126105600|126179011|78449485","还是会脱发","{\"default\": [1]}"
"JINGDONG|20161108053007|2385516|1989806849","脱发防不了","{\"default\": [1]}"
"JINGDONG|20161017002823|206750|1920114511","好，但脱发多，，，，，，，","{\"default\": [1]}"
"JUMEI|20161229000000|854374|08d0b7148aeafe9e4cc1a5d2b681c129","感觉会脱发","{\"default\": [1]}"
"JINGDONG|20161007233915|206786|1895799281","脱发膏吗","{\"default\": [1]}"
"Yihaodian|20131017152408|8393603|1382116018771","脱发有减少","{\"default\": [5]}"
"JUMEI|20160612000000|1721105|9b534bf9c27cf6bf6982f16a31829a80","不错，防脱发","{\"default\": [5]}"
